ADDA,20200622,7,24,2,20,0
ADDC,20200622,2,2,-32,-7,0
ADDE,20200622,-100,969,-100,967,0
ADDN,20200622,-1140,280,-1140,170,0
ADDQ,20200622,-1046,175,-1046,175,0
ADDS,20200622,-97,176,-102,168,0
ADDT,20200622,-2179,448,-2179,365,0
ADDU,20200622,165,356,142,354,0
ADDV,20200622,102,141,102,141,0
ADDX,20200622,7,303,-2,302,0
ADRA,20200622,1.08,1.3,1.02,1.22,0
ADRC,20200622,1.02,1.02,0.76,0.94,0
ADRE,20200622,0.87,2.71,0.87,2.53,0
ADRN,20200622,0.24,1.34,0.24,1.2,0
ADRQ,20200622,0.39,1.14,0.39,1.14,0
ADRS,20200622,0.8,1.27,0.8,1.23,0
ADRT,20200622,0.34,1.21,0.34,1.17,0
ADRU,20200622,1.17,1.23,1.09,1.18,0
ADRV,20200622,1.67,1.67,1.39,1.48,0
ADRX,20200622,1,1.26,0.99,1.26,0
ADVA,20200622,90,107,90,107,202303400
ADVC,20200622,76,127,76,127,49147700
ADVE,20200622,693,1601,693,1597,976798900
ADVN,20200622,360,1082,360,1019,2405132000
ADVQ,20200622,688,1381,688,1379,2536609000
ADVS,20200622,400,885,400,885,232553000
ADVT,20200622,1138,2557,1138,2505,5144045000
ADVU,20200622,1093,2285,1093,2283,4348542000
ADVV,20200622,253,430,253,430,103089000
ADVX,20200622,729,1442,729,1442,384789700
ASHD,20200622,26,851,26,615,0
ASHF,20200622,10,836,-113,754,0
ASHR,20200622,1.38,2.5,0.85,2.22,0
ASHU,20200622,36,1393,36,1369,0
AVDA,20200622,7.64,141.88,6.84,141.55,0
AVDC,20200622,2.73,17.36,2.62,17.16,0
AVDE,20200622,9.28,398.95,9.28,342.52,0
AVDN,20200622,-99.81,485.1,-386.45,362.4,0
AVDQ,20200622,24.2,971.39,-7.99,953.89,0
AVDS,20200622,-2.46,51.72,-5.53,48.34,0
AVDT,20200622,-67.96,1542.06,-375.74,1457.85,0
AVDU,20200622,209.87,3080.8,209.87,3024.97,0
AVDV,20200622,11.64,68.19,11.64,68.19,0
AVDX,20200622,11.9,133.9,11.9,133.7,0
AVLD,20200622,1.26,585.13,1.26,555.78,0
AVLF,20200622,0.84,452.75,0.81,428,0
AVLR,20200622,1.66,2.98,1.06,1.77,0
AVLU,20200622,2.1,983.78,2.1,983.78,0
AVRA,20200622,1.88,3.49,1.34,3.33,0
AVRC,20200622,1.77,2.46,1.17,1.53,0
AVRE,20200622,1.16,2.46,1.14,1.54,0
AVRN,20200622,0.54,1.38,0.54,1.17,0
AVRQ,20200622,1.12,1.88,0.98,1.6,0
AVRS,20200622,0.85,1.75,0.85,1.26,0
AVRT,20200622,0.83,1.63,0.77,1.39,0
AVRU,20200622,1.86,3.32,1.82,3.28,0
AVRV,20200622,3.66,3.66,2.57,2.95,0
AVRX,20200622,1.47,1.95,1.36,1.53,0
AVVA,20200622,16.33,202.3,16.33,202.3,0
AVVC,20200622,6.24,49.14,6.24,49.14,0
AVVE,20200622,65.2,976.79,65.2,976.79,0
AVVN,20200622,118.28,2405.13,118.28,2405.13,0
AVVQ,20200622,221.41,2536.6,221.41,2536.6,0
AVVS,20200622,14.7,232.55,14.7,232.55,0
AVVT,20200622,356.04,5144.04,356.04,5144.04,0
AVVU,20200622,452.51,4403.22,452.51,4348.54,0
AVVV,20200622,16,103.08,16,103.08,0
AVVX,20200622,36.96,384.78,36.96,384.78,0
BANK,20200622,2740.1,2782.81,2720.37,2767.63,0
BCMA,20200622,878,2235,878,2175,0
BCMC,20200622,100.35,101,100.12,100.81,0
BCMD,20200622,2925,2925,1710,1761,0
BCME,20200622,185,297,185,292,0
BCMF,20200622,267,267,214,217,0
BCMG,20200622,24,38,19,33,0
BCMM,20200622,99.13,100.47,99.13,100.47,0
BCMU,20200622,64,74,43,65,0
BDMA,20200622,1486,1558,1486,1558,0
BDMC,20200622,100.3,100.3,100.24,100.29,0
BDMD,20200622,2328,2386,2328,2386,0
BDME,20200622,232,260,232,259,0
BDMF,20200622,226,256,226,255,0
BDMG,20200622,18,26,18,26,0
BDMM,20200622,99.77,99.81,99.76,99.79,0
BDMU,20200622,52,56,52,56,0
BFMA,20200622,2852,2930,2852,2930,0
BFMC,20200622,100.62,100.62,100.44,100.45,0
BFMD,20200622,971,1018,971,1018,0
BFME,20200622,270,296,270,296,0
BFMF,20200622,191,224,191,222,0
BFMG,20200622,15,22,15,22,0
BFMM,20200622,101.88,101.89,101.87,101.87,0
BFMU,20200622,42,51,41,51,0
BGMA,20200622,2020,2100,2020,2100,0
BGMC,20200622,100.96,101.02,100.89,100.92,0
BGMD,20200622,1769,1810,1769,1810,0
BGME,20200622,299,339,299,338,0
BGMF,20200622,154,174,154,173,0
BGMG,20200622,15,21,15,21,0
BGMM,20200622,100.35,100.39,100.35,100.39,0
BGMU,20200622,71,83,71,83,0
BKX,20200622,77.6,78.73,77.15,77.85,0
BWH,20200622,179.39,180.96,178.09,180.96,0
BXD,20200622,289.32,292.3,288.38,291.31,0
BXM,20200622,1271.86,1280.09,1269,1279.89,0
BXN,20200622,638.89,643.38,637.98,643.22,0
CASH,20200622,1,1,1,1,0
CEX,20200622,589.53,595.47,583.53,592.58,0
COMP,20200622,9945.49,10059.61,9916.6,10056.47,0
CPR,20200622,2.6,2.66,2.6,2.65,59633
CYM,20200622,16.87,16.9,16.65,16.84,0
DCFD,20200622,7.81,25,7.81,20.31,0
DCFI,20200622,64.06,70.31,64.06,68.75,0
DCOF,20200622,42.18,51.56,42.18,51.56,0
DCOH,20200622,23.43,29.68,23.43,29.68,0
DCSE,20200622,38423.51,38998.37,38161.93,38913.61,0
DCTH,20200622,23.43,29.68,21.87,29.68,0
DCTW,20200622,10.93,25,10.93,21.87,0
DDA,20200622,37.7,42.63,35.53,35.58,0
DDB,20200622,35.44,36.05,18.44,33.86,0
DECA,20200622,83,96,79,87,60744300
DECC,20200622,74,144,74,134,31983400
DECE,20200622,793,873,539,630,634272900
DECN,20200622,1500,1500,802,849,2042731000
DECQ,20200622,1734,1734,1197,1204,1582716000
DECS,20200622,497,739,497,717,184210200
DECT,20200622,3317,3317,2105,2140,3686191000
DECU,20200622,928,1968,928,1929,1323571000
DECV,20200622,151,300,151,289,34891300
DECX,20200622,722,1173,722,1140,251084900
DIFD,20200622,16.66,40,16.66,30,0
DIFI,20200622,66.66,73.33,66.66,73.33,0
DIOF,20200622,53.33,63.33,53.33,60,0
DIOH,20200622,26.66,33.33,26.66,33.33,0
DITH,20200622,30,33.33,30,33.33,0
DITW,20200622,13.33,33.33,13.33,33.33,0
DIVQ,20200622,3249.62,3299.52,3238.6,3298.24,0
DJC,20200622,8275.24,8343.91,8217.86,8332.6,685096500
DJEC,20200622,1501.52,1523.99,1501.3,1522.79,0
DJI,20200622,25865.08,26059.81,25667.68,26024.96,353008800
DJT,20200622,9014.65,9079.01,8923.55,9061.98,275527500
DJU,20200622,771.58,785.06,766.97,780.42,56560100
DJWO,20200622,402.19,404.04,400.49,403.59,0
DJX,20200622,258.65,260.6,256.68,260.25,0
DLTC,20200622,2558.01,2604.54,2555.8,2603.45,0
DOWE,20200622,1465.11,1474.98,1445.18,1460.36,0
DRCI,20200622,249.36,250.54,246.01,249.95,0
DREI,20200622,348.79,350.53,344.04,349.61,0
DSAE,20200622,1232.51,1243.74,1218.93,1241.23,81457600
DSAF,20200622,867.84,870.5,856.09,866.63,7674800
DSAG,20200622,185.26,186.35,183.41,184.27,26919200
DSAI,20200622,651.34,653.54,640.13,651.29,12135400
DSAL,20200622,36.58,37.81,36.32,37.6,9168100
DSAM,20200622,2023.83,2027.02,2001.85,2023.61,47297900
DSAP,20200622,393.1,393.72,388.66,391.61,112299300
DSAR,20200622,139.03,143.63,138.44,141.5,272668400
DSAS,20200622,1183.58,1194.61,1165.21,1191.77,73878900
DSAT,20200622,392.82,395.33,385.22,392.32,10515200
DSAU,20200622,294.05,295.14,291.07,292.7,96555000
DSAV,20200622,437.36,439.69,429.38,436.77,21950400
DSBC,20200622,1352.15,1359.55,1342.24,1353.39,124018300
DSBD,20200622,936.01,949.71,928.34,948.27,27700200
DSBE,20200622,120.23,122.17,118.97,121.91,2708200
DSBK,20200622,346.81,350.84,344.4,346.98,227947800
DSBM,20200622,355.74,359.55,352.84,358.09,123122100
DSBS,20200622,166.12,168.74,165.57,167.12,82283100
DSBT,20200622,2435.94,2438.33,2402.55,2429.48,85698700
DSBV,20200622,745.56,749.68,740.58,745.48,32290200
DSCA,20200622,621.79,623.7,603.4,616.47,59772100
